iter	Passed	Remaining
0	55	55899
1	111	55550
2	165	55069
3	223	55595
4	281	56031
5	344	57148
6	405	57511
7	466	57844
8	521	57459
9	578	57278
10	635	57132
11	691	56917
12	747	56743
13	802	56532
14	858	56386
15	913	56157
16	969	56076
17	1024	55886
18	1080	55763
19	1135	55641
20	1192	55575
21	1252	55692
22	1313	55787
23	1373	55852
24	1433	55910
25	1494	55975
26	1554	56037
27	1609	55878
28	1666	55797
29	1722	55705
30	1778	55601
31	1834	55501
32	1889	55378
33	1945	55271
34	1999	55119
35	2054	55026
36	2109	54915
37	2165	54811
38	2223	54798
39	2285	54846
40	2345	54866
41	2407	54916
42	2467	54922
43	2526	54886
44	2580	54767
45	2635	54667
46	2691	54567
47	2745	54458
48	2800	54361
49	2856	54271
50	2911	54184
51	2966	54082
52	3022	54006
53	3079	53939
54	3134	53852
55	3188	53754
56	3249	53765
57	3311	53782
58	3372	53788
59	3433	53796
60	3492	53757
61	3548	53689
62	3604	53602
63	3660	53528
64	3716	53458
65	3771	53371
66	3826	53286
67	3880	53190
68	3935	53104
69	3990	53018
70	4047	52957
71	4102	52879
72	4158	52807
73	4216	52761
74	4278	52764
75	4337	52733
76	4397	52715
77	4460	52726
78	4520	52705
79	4575	52617
80	4630	52535
81	4686	52464
82	4740	52372
83	4795	52292
84	4850	52218
85	4906	52144
86	4961	52069
87	5017	52004
88	5073	51936
89	5129	51869
90	5187	51814
91	5247	51794
92	5309	51780
93	5369	51750
94	5431	51738
95	5489	51695
96	5545	51627
97	5601	51558
98	5656	51481
99	5713	51420
100	5768	51348
101	5824	51277
102	5880	51210
103	5935	51137
104	5991	51068
105	6045	50990
106	6100	50915
107	6156	50847
108	6214	50800
109	6277	50791
110	6339	50769
111	6400	50747
112	6458	50697
113	6518	50664
114	6572	50582
115	6628	50516
116	6684	50446
117	6739	50372
118	6794	50304
119	6849	50231
120	6904	50156
121	6959	50087
122	7015	50018
123	7071	49954
124	7125	49878
125	7181	49816
126	7242	49782
127	7304	49760
128	7364	49727
129	7425	49696
130	7484	49652
131	7541	49587
132	7596	49517
133	7651	49450
134	7707	49385
135	7763	49320
136	7818	49250
137	7874	49188
138	7930	49123
139	7985	49055
140	8041	48990
141	8097	48925
142	8152	48856
143	8209	48801
144	8271	48771
145	8332	48738
146	8393	48704
147	8454	48673
148	8510	48605
149	8564	48532
150	8620	48467
151	8677	48409
152	8732	48343
153	8788	48281
154	8844	48214
